id,nombre_iniciativa,descripcion,principio_GA,link,fecha_lanzamiento,ambito,representacion,organismo,intitucion_principal,provincia,localidad,domicilio,correo_electronico,telefono
41,#LaTeNQN Laboratorios de los Territorios del Neuquén,,Innovación,,,Gubernamental,Ejecutivo Provincial,,"Ministerio de Niñez, Adolescencia, Juventud y Ciudadanía",Neuquén,,"Entre Ríos 303, Q8300 Neuquén",nqnlab@gmail.com,
42,Escuela de Facilitadores de Innovación Pública,,Innovación,,,Gubernamental,Ejecutivo Provincial,,"Ministerio de Niñez, Adolescencia, Juventud y Ciudadanía",Neuquén,,"Entre Ríos 303, Q8300 Neuquén",nqnlab@gmail.com,
43,Talleres participativos. Red integral de cuidados,,Participación,https://santafeciudad.gov.ar/secretaria-de-politicas-de-cuidados-y-accion-social/,,Gubernamental,Ejecutivo Municipal,,Secretaría de Gobierno,Santa Fe,Santa Fe,"Salta 2951 – 1º piso, Santa Fe",i.sanz@santafeciudad.gov.ar,
44,Portal Municipal de Transparencia,,Transparencia,https://santafeciudad.gov.ar/transparencia/,,Gubernamental,Ejecutivo Municipal,,Secretaría de Gobierno,Santa Fe,Santa Fe,"Salta 2951, Santa Fe",i.sanz@santafeciudad.gov.ar,
45,Programa Tejiendo Redes,,Participación,,,Gubernamental,Ejecutivo Provincial,,Ministerio de Seguridad de la Provincia de Tucuman,Tucumán,,"25 de mayo 90, San Miguel de Tucumán 4000",sec.participacionciudadanatuc@gmail.com,
46,Pérez Lab- Laboratorio de Innovación Social,,Innovación,,,Gubernamental,Ejecutivo Municipal,,Intendencia municipal,Santa Fe,Pérez,"Sarmiento 1198, Perez, Santa Fe",gusorrego@gmail.com,
47,Rondas Barriales,,Participación,,,Gubernamental,Ejecutivo Municipal,,Intendencia municipal,Santa Fe,Pérez,"Sarmiento 1198, Perez, Santa Fe",gusorrego@gmail.com,
48,Colaboración e innovación,,Innovación,,,Gubernamental,Ejecutivo Municipal,,"Secretaria de Modernización, Innovación y Tecnologías",Buenos Aires,Pergamino,"Dr. Leandro N. Alem 411, Pergamino, BA.",silvana.pirchi@pergamino.gob.ar,
49,Participación ciudadana e innovación colaborativa,,Participación,,,Gubernamental,Ejecutivo Municipal,,"Secretaria de Modernización, Innovación y Tecnologías",Buenos Aires,Pergamino,"Dr. Leandro N. Alem 411, Pergamino, BA.",silvana.pirchi@pergamino.gob.ar,
50,Portal Unico de Gobierno,,Transparencia,https://portal.catamarca.gob.ar,,Gubernamental,Ejecutivo Provincial,,Secretaría de Modernización,Catamarca,,"https://www.google.com/maps/place/Secretar%C3%ADa+de+Modernizaci%C3%B3n+del+Estado/@-28.4588448,-65.7629105,15z/data=!4m2!3m1!1s0x0:0x4b2eb621672609cb?sa=X&ved=2ahUKEwijs_S-qPaCAxXRqZUCHa8uCCoQ_BJ6BAhgEAA",rarganaraz@catamarca.gov.ar,
51,Servicios a la Ciudadanía ,"Es un sitio que ofrece alternativas dinámicas para acceder a toda la información sistematizada y relevante de servicios, trámites, contactos institucionales, catálogo de datos abiertos y herramientas de gobierno abierto.Está diseñada para toda persona que demanda información accesible y concreta.",Transparencia,https://www.argentina.gob.ar/senasa/servicios-la-ciudadania ,02/05/2022,Gubernamental,Ejecutivo Nacional,Coordinación de Documentación e Información al Ciudadano,Servicio Nacional de Sanidad y Calidad Agroalimentaria,,,"Av. Paseo Colón 367, C1063ACD CABA",responde@senasa.gob.ar,1163728527
52,Portal de Datos Abiertos del Ministerio de Desarrollo Productivo ,"Se pone a disposición de la ciudadanía el sitio web con los datos públicos del Ministerio, el cual se encuentra en constante actualización y crecimiento.",Datos,datos.produccion.gob.ar,17/05/2021,Gubernamental,Ejecutivo Nacional,Dirección Nacional de Mejora de la Gestión Productiva,Ministerio de Desarrollo Productivo,,,"Av. Presidente Julio A. Roca 651, C1057 CABA",dnmejoradelagestion@produccion.gob.ar,
53,Programa Universidad Transparente,La transparencia es uno de los ejes centrales de la gestión que la UNCuyo encaró desde el año 2015. Universidad Transparente es un modelo de gestión que se está implementando en la UNCUYO para garantizar y mejorar el derecho a la información pública.Este programa busca promover una cultura de la transparencia y del buen gobierno en la UNCuyo y también desde ella hacia Mendoza. Por ello su diseño implica distintas dimensiones que permiten participar a diferentes claustros y disciplinas en el debate de la transparencia como principio y como instrumento de gestión.,Transparencia,https://www.uncuyo.edu.ar/transparencia/,01/09/2015,No gubernamental,Academia,Secretaría de Gestión Económica y de Servicios,Universidad Nacional de Cuyo,Mendoza,,"Centro Universitario M5502JMA. Mendoza, Argentina",transparencia@uncu.edu.ar,-
54,ParticipaMGP Presupuesto Participativo,"El Presupuesto Participativo es una iniciativa a través de la cual los vecinos y vecinas proponen y votan en qué invertir parte del presupuesto municipal. ParticipaMGP se implementa a partir de una plataforma digital que permite la gestión integral del Presupuesto Participativo de manera transparente, generando instancias de diálogo entre el vecino/a y el gobierno.",Participación,participa.mardelplata.gob.ar,10/02/2022,Gubernamental,Ejecutivo Municipal,Dirección de Modernización e Información Estratégica,Municipalidad,Buenos Aires,General Pueyrredon,"Hipólito Yrigoyen 1627, Mar del Plata, Provincia de Buenos Aires, Argentina",participamgp@mardelplata.gob.ar,2234998300
55,Portal de Datos Abiertos,"Portal de datos abiertos del Municipio donde se ponen a disposición de la ciudadanía datos públicos en formatos abiertos para que puedan ser usados, reutilizados o compartidos, además de generar valor agregado sobre los mismos. Permiten conocer datos sobre la ciudad, analizarlos, proponer distintas formas de visualizarlos y generar aplicaciones que los incluyan.",Datos,datos.mardelplata.gob.ar,02/03/2018,Gubernamental,Ejecutivo Municipal,Dirección de Modernización e Información Estratégica,Municipalidad,Buenos Aires,General Pueyrredon,"Hipólito Yrigoyen 1627, Mar del Plata, Provincia de Buenos Aires, Argentina",datos@mardelplata.gob.ar,2234998300
56,Transparencia Fiscal Abierta ,"Página Web de Transparencia Fiscal Presupuestaria Abierta, con información abierta trimestral sobre las erogaciones y los recursos destinados a la financiación del presupuesto general de gastos de la comuna.",Transparencia,https://www.mardelplata.gob.ar/transparencia/transparenciafiscal,01/01/2020,Gubernamental,Ejecutivo Municipal,Dirección de Modernización e Información Estratégica,Municipalidad,Buenos Aires,General Pueyrredon,"Hipólito Yrigoyen 1627, Mar del Plata, Provincia de Buenos Aires, Argentina",datos@mardelplata.gob.ar,2234998300
57,Presupuesto Abierto ,"Plataforma online que muestra de una forma gráfica, abierta y simple cómo se asigna el presupuesto municipal, discriminado por área o por temática y cómo se ejecuta. Responde de forma clara a las preguntas ¿En qué se gasta? y ¿Qué se recauda?",Transparencia,mardelplata.gob.ar/presupuestoabierto ,01/01/2021,Gubernamental,Ejecutivo Municipal,Dirección de Modernización e Información Estratégica,Municipalidad,Buenos Aires,General Pueyrredon,"Hipólito Yrigoyen 1627, Mar del Plata, Provincia de Buenos Aires, Argentina",datos@mardelplata.gob.ar,2234998300
58,Provincia Abierta,"Es la iniciativa de Gobierno Abierto impulsada desde la Dirección Provincial de Planificación Estratégica y Gobierno Abierto de la Subsecretaría de Planificación y Evaluación del Ministerio de JGM de la provincia de Buenos Aires basada en los principios de transparencia, participación y colaboración. Esto implica una política de apertura de la información y la implementación de procesos innovadores con el fin de encontrar soluciones a los problemas públicos.",Transparencia,https://www.gba.gob.ar/provinciaabierta,01/04/2018,Gubernamental,Ejecutivo Provincial,Dirección Provincial de Planificación Estratégica y Gobierno Abierto,Ministerio de Jefatura de Gabinete de Ministros,Buenos Aires,,"Calle 6 entre 53 y 51, La Plata, Buenos Aires.",asesoresjg@gba.gob.ar,-
59,LAB Salta,"Es un espacio dinámico destinado a trabajar problemas públicos de forma colaborativa, desafiando las formas tradicionales en las operaciones de las estructuras gubernamentales. Actuando de forma diferente, proporciona las condiciones necesarias para crear y probar soluciones rápidamente y en pequeña escala, siguiendo la lógica de la práctica experimental e interactiva de investigación, prueba y aprendizaje.",Innovación,https://www.instagram.com/participacionsalta/,20/10/2021,Gubernamental,Ejecutivo Provincial,Secretaría de Participación Ciudadana y Relaciones con la Comunidad,"Ministerio de Gobierno, Derechos Humanos y Trabajo",Salta,,"Bartolomé Mitre 448, Salta",labsalta.spc@gmail.com,-
60,YO GOBIERNO SALTA,"Es una plataforma digital y colaborativa que el Gobierno de Salta puso a disposición de los ciudadanos para que puedan aportar ideas y propuestas, estableciendo un contacto mucho más directo con el Estado y participando en la co-creación de políticas públicas que brinden soluciones a problemáticas cotidianas.",Participación,https://yogobierno.salta.gob.ar/home,30/11/2021,Gubernamental,Ejecutivo Provincial,Secretaría de Participación Ciudadana y Relaciones con la Comunidad,"Ministerio de Gobierno, Derechos Humanos y Trabajo",Salta,,"Bartolomé Mitre 448, Salta",labsalta.spc@gmail.com,-
61,Red PartiCIP,"Grupo de personas e instituciones de diversos sectores (público, privado, academia, organizaciones de la sociedad civil, ciudadanía) que buscan coordinar y movilizar agendas ciudadanas dentro del gobierno provincial; a fin de generar un espacio transversal e interdisciplinar de conversaciones directas y fluida para gestionar acciones conjuntas.",Participación,https://www.instagram.com/participacionsalta/,18/03/2022,Gubernamental,Ejecutivo Provincial,Secretaría de Participación Ciudadana y Relaciones con la Comunidad,"Ministerio de Gobierno, Derechos Humanos y Trabajo",Salta,,"Bartolomé Mitre 448, Salta",labsalta.spc@gmail.com,-
62,Gobierno Participativo de TIC,"Desde hace 26 años desarrollamos soluciones informáticas para las universidades nacionales mediante una gobernanza abierta y colaborativa de la tecnología. Creamos comunidades de práctica, con más de 8000 personas de todo el país, donde se priorizan requerimientos, definen tecnologías y se toman decisiones en conjunto.",Transparencia,https://portal.comunidad.siu.edu.ar/ ,01/02/1996,Gubernamental,Ejecutivo Nacional,Sistema de Información Universitaria,Consejo Interuniversitario Nacional,,,"Ecuador 871 - 3° piso, Buenos Aires - Argentina",info@siu.edu.ar,01152173101
63,Portal Universidades Compran,"Este portal consolida los procedimientos de compras y contrataciones vigentes de las universidades nacionales, publicados en los portales de compras públicas SIU-Diaguita. Permite que proveedores y la ciudadanía puedan acceder a estos datos otorgando transparencia e innovación.",Transparencia,https://universidadescompran.cin.edu.ar/ ,04/11/2020,Gubernamental,Ejecutivo Nacional,Sistema de Información Universitaria,Consejo Interuniversitario Nacional,,,"Ecuador 871 - 3° piso, Buenos Aires - Argentina",info@siu.edu.ar,01152173101
64,Reactivación y automatización de procesos para la actualización de datos en el portal de Datos Abiertos – ENACOM,"Desde la Unidad de Integridad y Transparencia trabajamos en la re activación y actualización de los datos publicados en el portal de Datos Abiertos del organismo. Asimismo, y trabajando en conjunto con el área de sistemas del organismo, se busca la automatización de procesos y servicios que permitirán la actualización de la información de manera automática, buscando de esta manera minimizar los riesgos y tener la información al día.",Datos,https://datosabiertos.enacom.gob.ar/home,01/06/2021,Gubernamental,Ejecutivo Nacional,Unidad de Integridad y Transparecia,Ente Nacional de Comunicaciones,,,"Peru 103, CABA",scravero@enacom.gob.ar,-
65,Presupuesto Participativo UNGS,Desde el año 2013 la Universidad Nacional de General Sarmiento implementa el Presupuesto Participativo. Fue aprobada por Resolución y posteriormente se incorporo al Estatuto. Tiene la particularidad de promover la participación igualitaria de los 4 claustros.,Participación,http://pparticipativo.ungs.edu.ar/,01/04/2013,No gubernamental,Academia,Programa de Presupuesto Participativo UNGS,Secretaría de Admininstración UNGS,,,Juan María Gutiérrez 1150 (entre José León Suarez y Verdi)Los Polvorines | CP 1613 | Pcia de Bs. As | Argentina,presupuestoparticipativo@campus.ungs.edu.ar,-
66,"Publicación de bases de microdatos de Homicidios dolosos, Muertes viales y Suicidios","A finales del año 2021 y principios de 2022 se publicaron por primera vez las bases de microdatos de los Sistemas de Alerta Temprana de homicidios dolosos, muertes viales y de suicidios junto a los manuales de usuarios de las bases e informes síntesis. Los mismos se encuentran disponibles en el sitio oficial de la Dirección Nacional de Estadísticas Criminales. Estas bases e informes aportan información cuantitativa y cualitativa y forma parte de las políticas de mejora en la calidad estadística y en el acceso a la información oficial que desarrolla el Ministerio de Seguridad de la Nación, a partir del trabajo mancomunado con las 23 policías provinciales, la policía de la Ciudad Autónoma de Buenos Aires y las fuerzas federales (Gendarmería Nacional, Policía Federal, Policía de Seguridad Aeroportuaria y Prefectura Naval Argentina). Se trata de un trabajo interinstitucional y federal que se desarrolla a lo largo de todo el año.Se planifica para los próximos meses, publicar la base de SAT Delitos contra la propiedad.",Transparencia,https://www.argentina.gob.ar/seguridad/estadisticascriminales,21/11/2021,Gubernamental,Ejecutivo Nacional,Dirección Nacional de Estadística Criminal,Ministerio de Seguridad de la Nación,,,"Av. Gral. Gelly y Obes 2289, C1425EMA CABA",dnec@minseg.gob.ar,-
67,Portal de Datos Abiertos de la Secretaría de Energía de la Nación,"El Portal de Datos Abiertos de la Secretaría de Energía pone a disposición datos públicos en formato abierto de series energéticas estadísticas y geográficas. Se lanzó la primera versión en 2016 y a partir de esa fecha ha estado en línea. Se ha ido mejorando y actualizando la funcionalidad, datos y metadatos respetando los estándares definidos.",Datos,http://datos.energia.gob.ar/,05/05/2016,Gubernamental,Ejecutivo Nacional,Dirección de Información Energética,Secretaría de Energía de la Nación,,,"Balcarce 186, C1087 AAD, Buenos Aires",datosenergia@mecon.gob.ar,-
68,Datos Argentina. Portal Nacional de Datos Públicos,"El Portal Nacional de Públicos (datos.gob.ar) es el punto de acceso para buscar y acceder fácilmente a los datos que publican los organismos de la Administración Pública Nacional. Pone al alcance de la población datos públicos en formatos abiertos para que puedan ser usarlos, modificados y compartidos.",Datos,https://datos.gob.ar/,08/03/2016,Gubernamental,Ejecutivo Nacional,Dirección de Datos Abiertos,Secretaría de Innovación Pública,,,Roque Sáenz Peña 788 - Piso 7 - Ciudad Autónoma de Buenos Aires Código postal: C1035AAP,datosargentina@jefatura.gob.ar,
69,API de Series de Tiempo de la República Argentina,"La API de Series de Tiempo de Argentina, permite consultar indicadores con evolución cronológica publicados en formatos abiertos por organismos de la Administración Pública Nacional.",Innovación,https://datosgobar.github.io/series-tiempo-ar-api/,27/09/2017,Gubernamental,Ejecutivo Nacional,Dirección de Datos Abiertos,Secretaría de Innovación Pública,,,Roque Sáenz Peña 788 - Piso 7 - Ciudad Autónoma de Buenos Aires Código postal: C1035AAP,datosargentina@jefatura.gob.ar,
70,API del Servicio de Normalización de Datos Geográficos de Argentina,"La API del Servicio de Normalización de Datos Geográficos, permite normalizar y codificar los nombres de unidades territoriales de la Argentina (provincias, departamentos, municipios y localidades) y de sus calles, así como ubicar coordenadas dentro de ellas.",Innovación,https://datosgobar.github.io/georef-ar-api/,01/01/2018,Gubernamental,Ejecutivo Nacional,Dirección de Datos Abiertos,Secretaría de Innovación Pública,,,Roque Sáenz Peña 788 - Piso 7 - Ciudad Autónoma de Buenos Aires Código postal: C1035AAP,datosargentina@jefatura.gob.ar,
71,Portal de Datos Abiertos del Observatorio Universitario de la Ciudad,"Portal de datos abiertos que presenta los resultados de las investigaciones realizadas por el Observatorio Universitario de la Ciudad con el fin generar valor agregado en los trabajos e investigaciones de estudiantes, investigadores y profesionales dentro y fuera de la comunidad universitaria. Este portal se enfoca en la relevancia de los datos abiertos al ser aplicados en un ámbito académico, no solamente como objetos de control sino también aportando al desarrollo educativo y a la ciencia abierta.",Datos,http://datosabiertos.ufasta.edu.ar/,14/04/2021,No gubernamental,Academia,Observatorio Universitario de la Ciudad,Universidad FASTA,,,Roque Sáenz Peña 788 - Piso 7 - Ciudad Autónoma de Buenos Aires Código postal: C1035AAP,observatorio@ufasta.edu.ar,
72,Sistema de Información Cultural de la Argentina - SInCA-,"El SInCA produce, sistematiza y difunde información referida a la actividad cultural. Es una herramienta de gestión y un instrumento de información pública, que trabaja con insumos provenientes de diversas fuentes (relevamientos propios e información de organismos públicos, gobiernos provinciales y cámaras empresarias). Para ello a disposición, en diversos soportes, información relativa a diversas facetas de la realidad cultural argentina, a través de varios proyectos de larga trayectoria, como el Mapa Cultural, la Cuenta Satélite de Cultura, y la Encuesta Nacional de Consumos Culturales.Además, organiza la Red Federal de Enlaces Culturales, dedicada al relevamiento, sistematización, análisis y difusión de información y estadísticas culturales de diversas jurisdicciones del país; y forma parte del SICSUR, un programa del Mercosur Cultural, que sistematiza información cultural de Argentina, Bolivia, Brasil, Chile, Colombia, Costa Rica, Ecuador, Paraguay, Perú y Uruguay.",Transparencia,https://www.sinca.gob.ar/,23/04/2007,Gubernamental,Ejecutivo Nacional,Dirección de Planificación y Seguimiento de Gestión,Ministerio de Cultura,,,"Alsina 1169, Piso 2 - Ciudad de Buenos Aires",sinca@cultura.gob.ar,
73,Datos públicos del Sistema Integrado de Casos de Violencia por Motivos de Género,"El Sistema integrado de Casos de Violencia por motivos de Género (SICVG) tiene como objetivo principal el registro del trabajo de asistencia a personas en situación de violencia por motivos de género que realizan organismos especializados en todo el territorio nacional. Permite conocer de manera detallada las características de las violencias de género y, de esta manera, establecer los contextos en los cuales es más probable que las violencias se incrementen y pongan en riesgo la vida o la integridad física y psicológica de las personas que denuncian o hacen consultas. En este tablero estadístico público se presenta información para el total de registros ingresados en el SICVG. Los datos refieren a las personas en situación de violencia por motivos de género que acudieron en busca de asistencia a algún organismo estatal (nacional, provincial o municipal). Incluye a las personas asistidas identificadas y a las consultas realizadas para las cuáles no es posible individualizar a la persona asistida.",Transparencia,https://tablerosicvg.mingeneros.gob.ar,27/02/2023,Gubernamental,Ejecutivo Nacional,Dirección Técnica de Registros y Bases de Datos,"Ministerio de las Mujeres, Géneros y Diversidad",,,"Balcarce 186, Buenos Aires",mdaregistros@mingeneros.gob.ar,1143498778
74,Empresa urbana-reciclables,Tienen una página web donde se puede ver dónde están dónde están ubicados los puntos verdes de la ciudad,Transparencia,urbanacr.com.ar,,No gubernamental,,,,,,"El Chubut 1988, Comodoro Rivadavia, Chubut",,
75,"Audiencias Pública por proyecto de urbanización ""Refugios de Lobos""","Se realizó una audiencia pública 2022.Sobre general un canal de visualización en referencia a un proyecto de urbanización privado. La interacción social y la participación ciudadana fue, estableció una postura de igualdad los grupos sociales (Asociaciones, academicos y públicos en general.",Participación,https://www.youtube.com/watch?v=2aqZ4kIlqLE,,Gubernamental,Ejecutivo Municipal,Subsecretaría de Ambiente,,Chubut,Comodoro Rivadavia,"https://www.google.com/maps/dir//REFUGIO+DE+LOBOS+Escalante+Chubut/@-45.963626,-67.5701347,13z/data=!4m8!4m7!1m0!1m5!1m1!1s0xbde5adc59ffba29f:0x817d2a2c44095cd7!2m2!1d-67.5701347!2d-45.963626?entry=ttu",,-
76,Datos Abiertos del Poder Judicial de Chubut,"Portal de datos abiertos del Poder Judicial de la provincia de Chubut algunos de DATATS: presupuesto recursos humanos, denuncias.",Datos,https://www.juschubut.gov.ar/index.php/organizacion/secretarias-y-direcciones-stj/direccion-de-estadisticas/indicadores/indicadores-del-poder-judicial-de-la-provincia-del-chubut/estadistica-datos-abiertos,,Gubernamental,Poder Judicial,,Poder Judicial,Chubut,,"Roberto Jones 75, Chubut",,
77,Infraestructura de Datos Especiales UNPSJB,"Creación de una IDE para la Universidad Nacional de la Patagonia San Juan Bosco , con el objetivo de poner a disposición datos de diferentes categorías, para la comunidad universitaria y la ciudadanía. se encarga de la producción del proyecto de laboratorio de Sic y Teledetección.",Datos,https://geoportal.unp.edu.ar/institucional/,,No gubernamental,Academia,,"Universidad Nacional de la Patagonia, San Juan Bosco-Sede Comodoro Rivadavia.",,,"https://www.google.com/maps/place/Universidad+Nacional+de+la+Patagonia+San+Juan+Bosco+(UNPSJB)+%7C+Sede+Comodoro+Rivadavia/@-45.8246607,-67.4638757,15z/data=!4m2!3m1!1s0x0:0xcfe1a192df3789b2?sa=X&ved=2ahUKEwiR6PKKx_aCAxXwqJUCHbTFAf4Q_BJ6BAhiEAA",labsigyt@fhes.unp.edu.ar,
78,GEOMOP,Es una plataforma de datos abiertos geolocalizados que ofrece información para el análisis territorial de la obra pública.,Transparencia,https://geoportal.obraspublicas.gob.ar/,,Gubernamental,Ejecutivo Nacional,,Ministerio de Obras Públicas,,,"Hipólito Yrigoyen 250, piso 11",observatorioop@obraspublicas.gob.ar,
79,Mapa de Inversiones,Es una plataforma de datos abiertos que ofrece información sobre las obras y proyectos que gestiona el MOP. Busca amplificar la participación y el control ciudadano y fortalecer la transparencia de la gestión. Es abierto a toda la ciudadanía y actualmente alcanzó más de 2 millones de visitas.,Transparencia,https://mapainversiones.obraspublicas.gob.ar/,,Gubernamental,Ejecutivo Nacional,,Ministerio de Obras Públicas,,,"Hipólito Yrigoyen 250, piso 12",sullud@obraspublicas.gob.ar,
80,Portal de Datos,"Portal de datos abiertos donde el Municipio, a través de su secretarías, pone a disposición de la ciudadanía diferentes datasets con información reutilizable. El mismo está disponible en datos.vivamos comodoro.gob.ar",Datos,https://datos.vivamoscomodoro.gob.ar/,,Gubernamental,Ejecutivo Municipal,,Municipio de Comodoro Rivadavia,Chubut,Comodoro Rivadavia,Moreno 815 - Comodoro Rivadavia,datospublicos@comodoro.gov.ar,
81,CR Labs,La idea del proyecto de los CR Labs talleres de participación ciudadana es recolectar datos de las necesidades y cuestiones que vive el vecino del barrio para armar proyectos imaginarios y planificación para el desarrollo y crecimiento ya sea del barrio y la ciudad.,Participación,https://crlab.vivamoscomodoro.gob.ar/,,Gubernamental,Ejecutivo Municipal,Área de Planeamiento Urbano,Municipio de Comodoro Rivadavia,Chubut,Comodoro Rivadavia,Dalle Mura y Llames MassiniBarrio Stella Maris,planeamiento@comodoro.gov.ar,
82,CR Lab ,"Se realiza un relevamiento de las necesidades de los vecino en cada barrio de la ciudad. Se vuelcan los datos relevados, mapeos, características geográficas hidrológicas y geológicas. Las propuestas de mejora (como ejemplo accesibilidad, espacios de recreación, plazas, etc.) proyecto que luego se elevará a las otras áreas para su ejecución.",Participación,https://crlab.vivamoscomodoro.gob.ar/,,Gubernamental,Ejecutivo Municipal,CR labs Barrio Los Altos,Municipio de Comodoro Rivadavia,Chubut,Comodoro Rivadavia,Dalle Mura y Llames MassiniBarrio Stella Maris,karinasegovia@gmail.com,
83,PRESUPUESTO PARTICIPATIVO VICENTE LÓPEZ,El presupuesto participativo tiene como objetivo convocar a los vecinos y vecinas a involucrarse en el proceso de mejora del municipio. A través de la generación de ideas por parte de vecinos y vecinas se analiza la factibilidad y los elegidos pasan a la etapa de proyectos que se votan posteriormente. Los proyectos elegidos se ejecutan. La finalidad es que la ciudadanía se involucre en la distribución del presupuesto municipal,Participación,https://presupuestoparticipativo.vicentelopez.gob.ar/,,Gubernamental,Ejecutivo Municipal,Subsecretaría de Participación Ciudadana,Municipio de Vicente López con Democracia en Red,Buenos Aires,Vicente Lopez,"D. de Acassuso 1750, CP 1636, Olivos.",participacion.ciudadana@vicentelopez.gov.ar,4851-2000 opción 6
84,PORTAL INTERACTIVO - MINISTERIO DE SALUD PBA,"Se procesa, analiza, publican datos e indicadores de salud en relación a la Dirección de Estadística e información de Salud del Ministerio de Salud de PBA, de las áreas de egreso, rendimientos, establecimientos de salud y estadísticas vitales y se presenta en diferentes tableros interactivos.",Transparencia,"Portal interactivo – Información, estadística y salud digital (gba.gov.ar)",,Gubernamental,Ejecutivo Provincial,Dirección Estadística y Salud Digital,Ministerio de Salud,Buenos Aires,,Calle 4 N°962 esq. 51 – La Plata,uais.deisba@gmail.com,0221-4830935
85,QUILMES PARTICIPA,"Encuentros vecinales con las organizaciones de la sociedades civil para promover espacios de diálogo, escucha e intercambio sobre situaciones cotidianas de los barrios y políticas públicas",Participación,participacion.quilmes.gov.ar,,Gubernamental,Ejecutivo Municipal,,Municipio de Quilmes,Buenos Aires,Quilmes,"Alberdi 500, B1878 Quilmes, Provincia de Buenos Aires",,
86,FORO DE GESTIÓN MUNICIPAL,"Se trata de un foro anual abierto a la participación de los vecinos y las vecinas del distrito para rendir cuentas del estado de avance de los principales proyectos de gestion en curso, y para planificar participativamente las prioridades a encarar en el distrito. Se trabaja en comisiones por área y luego se pone en común las conclusiones en un plenario.",Participación,https://quilmes.gov.ar/noticias/noticia.php?id_noti=4696,,Gubernamental,Ejecutivo Municipal,,Municipio de Quilmes,Buenos Aires,Quilmes,"Alberdi 500, B1878 Quilmes, Provincia de Buenos Aires",,
87,PLANIFICACIÓN Y EVALUACIÓN PARTICIPATIVA DE MODERNIZACIÓN,Elaborar y planificar el Plan de Modernización 2020-2023- Evaluación de lo realizado. Planificar e innovar en un nuevo plan de modernización,Participación,https://conectividadymodernizacion.lapampa.gob.ar/,,Gubernamental,Ejecutivo Provincial,,Subsecretaria de Modernización del Gobierno de la Pampa,La Pampa,,"Juan B. Justo Nº 382, Santa Rosa, La Pampa 6300, Argentina",ministeriocym@lapampa.gob.ar,
88,PUBLICACIÓN DE DATOS E INFORMACIÓN EN SALUD DE LA PBA EN IDEBA,"El objetivo del proyecto consiste en la publicación de información en salud de la Provincia de Buenos Aires a nivel de partido, región sanitaria o establecimiento de salud. Esta información puede ser visualizada, observada y utilizada por los usuarios",Participación,https://catalogo.datos.gba.gob.ar/dataset?groups=salud-,,Gubernamental,Ejecutivo Provincial,,Ministerio de Salud,Buenos Aires,,"Avenida 51 Nº1120 entre 17 y 18, La Plata.",,
89,Banca del Vecino,"Espacio en donde vecines de Santa Rosa van y plantean propuestas, inquietudes. No son vinculantes las decisiones.",Participación,Municipalidad de Santa Rosa,,Gubernamental,Legislativo Municipal,,"Honorable Concejo Deliberante de Santa Rosa, La Pampa",La Pampa,Santa Rosa,"Av. San Martín 27, L6300BBA Santa Rosa, La Pampa",,
90,MAPA DE OBRAS,Portal de Obras muestra parte de las Obras desarrolladas en el Distrito. El objetivo es acercar al vecino la información de las obras del municipio y puedan aportar a la información del Portal,Transparencia,http://gis.quilmes.gov.ar/mapa_interactivo/obras/,,Gubernamental,Ejecutivo Municipal,,Ejecutivo -Jefatura de Gabinete - Modernización,Buenos Aires,Quilmes,"Calle 6 entre 53 y 51, La Plata",gis. quilmes@gmail.com,
91,Portal de Compras Públicas,Tenemos el sitio https://unnecompras.unne.edu.ar/diaguita_produccion/aplicacion.php?&ai=diaguita||110000003 dónde se publica todos los datos e información de las compras de toda la universidad,Transparencia,https://unnecompras.unne.edu.ar/diaguita_produccion/aplicacion.php?&ai=diaguita||110000003,,No gubernamental,Academia,,Universidad Nacional del Nordeste,,,"Av. Las Heras 727, H3500 Resistencia, Chaco",,
92,CUMBRE DE DATOS(La Academia + Datathon),"Se trata de un evento, para conocer a la comunidad de usuarios, fomentar la reutilización de datos del Portal de Datos abiertos. El evento conta de 5 etapas. a) Capacitación a cargo de ""la academia"" b) sensibilización y base del concurso de datos,c) ""Dtathon"".consuros para que se haga uso de los recursos publicados en el Portal de Datos abiertos de Corrientes d) Semifinal virtual para seleccionar 5 ganadores e) Jornada de cierre con panekles de experiencias y presentacion de las 5 mejores visualizaciones creadas.",Datos,https://www.cumbrededatos.ar/,,Gubernamental,Ejecutivo Municipal,,"Subsecretaria de Modernización, Innovación y Tecnología",Corrientes,Corrientes,"25 de Mayo 1132, W3400 BCN, Corrientes",cumbrededatos@gmail.com | dginnovacionygobiernoabierto@gmail.com,
93,CONCEJO DELIBERANTE ESTUDIANTIL,"Estudiantes de cuarto año son legisladores por un año. Proponen, participan.",Participación,https://www.concejovillamaria.gob.ar/concejo-estudiantil/,,Gubernamental,Legislativo Municipal,,HCD Villa Maria,Córdoba,Villa Maria,"Bartolomé Mitre 90, Villa maría , Córdoba",prensaconcejodeliberantevm@gmail.com,
